Period,Last_Period_Sales_Qty,Period_Price,Period_Discount,Period_Holiday,Period_Sales_Qty
1,200,280,0.75,3,190
2,190,295,0.65,1,150
3,150,295,0.75,2,130
4,130,295,0.9,0,80
5,80,295,0.95,1,90
6,90,310,0.75,1,130
7,130,310,0.8,3,200
8,200,310,0.9,1,100
9,100,310,1,1,70
10,70,325,0.75,2,160
11,160,325,0.95,1,70
12,70,340,0.9,1,70
13,70,340,0.7,1,130
14,130,340,1,0,70
15,70,325,1,0,50
16,50,325,0.95,1,60
17,60,340,1,0,50
18,50,325,0.9,1,70
19,70,325,0.8,1,110
20,110,325,0.7,0,120
21,120,340,0.9,1,80
22,80,325,0.85,1,100
23,100,310,0.95,1,90
24,90,310,0.95,0,70
25,70,310,0.85,1,100
26,100,310,0.75,0,130
27,130,310,0.7,2,200
28,200,295,1,0,80
29,80,295,0.9,2,120
30,120,295,0.8,1,130
31,130,295,0.7,1,120
32,120,280,0.9,1,90
33,90,280,0.75,1,140
34,140,280,0.7,2,200
35,200,280,0.8,3,190
36,190,280,0.95,1,90
37,90,295,0.75,1,110
38,110,295,0.85,3,170
39,170,295,0.95,0,90
40,90,295,1,1,70
41,70,310,0.7,3,210
42,210,310,0.85,0,130
43,130,310,0.95,1,80
44,80,325,0.7,1,130
45,130,325,0.9,2,100
46,100,325,1,1,70
47,70,340,0.8,2,140
48,140,325,0.95,0,70
49,70,340,0.8,2,130
50,130,340,0.7,1,120
51,120,325,1,0,60
52,60,325,0.9,1,70
53,70,325,0.95,2,90
54,90,325,0.75,2,150
55,150,325,0.85,2,150
56,150,325,0.65,3,210
57,210,310,1,0,60
58,60,325,0.75,1,100
59,100,325,0.8,1,120
60,120,325,0.65,2,190
61,190,310,0.85,2,170
62,170,310,0.8,2,170
63,170,310,0.8,1,120
64,120,310,0.7,1,130
65,130,295,0.95,1,90
66,90,295,0.9,1,90
67,90,295,0.85,4,200
68,200,295,0.7,1,130
69,130,280,0.9,1,100
70,100,280,0.75,2,140
71,140,280,0.65,3,230
72,230,280,0.85,1,120
73,120,280,0.9,2,120
74,120,280,0.8,0,90
75,90,280,1,1,60
76,60,295,0.8,3,190
77,190,295,0.95,0,70
78,70,310,0.65,2,160
79,160,310,0.7,2,180
80,180,310,0.8,1,140
81,140,310,0.85,3,190
82,190,310,0.9,2,130
83,130,310,1,0,50
84,50,325,0.7,2,170
85,170,310,0.9,0,110
86,110,310,0.85,0,120
87,120,310,0.85,1,120
88,120,295,1,1,60
89,60,310,0.65,2,220
90,220,310,0.75,2,130
91,130,310,0.75,1,120
92,120,310,0.65,3,230
93,230,280,1,0,90
94,90,280,0.85,1,120
95,120,280,0.7,4,220
96,220,280,0.8,1,130
97,130,280,0.95,0,80
98,80,295,0.65,2,150
99,150,280,0.95,2,100
100,100,280,0.85,2,180
101,180,295,0.75,2,150
102,150,295,0.9,2,110
103,110,295,0.9,1,100
104,100,310,0.65,3,230
105,230,310,0.75,1,130
106,130,310,0.85,2,130
107,130,325,0.75,2,130
108,130,325,0.95,2,90
109,90,325,0.9,1,80
110,80,325,0.75,2,130
111,130,325,0.7,0,130
112,130,325,1,0,60
113,60,340,0.7,1,110
114,110,340,0.9,1,100
115,100,325,0.95,0,50
116,50,325,0.65,3,210
117,210,310,0.95,1,100
118,100,310,0.85,0,120
119,120,310,0.75,2,160
120,160,310,0.65,2,180
121,180,295,1,0,80
122,80,280,0.75,1,120
123,120,280,0.8,0,110
124,110,280,0.8,3,180
125,180,280,0.95,0,70
126,70,280,1,0,90
127,90,295,0.7,1,130
128,130,295,0.8,1,110
129,110,295,0.9,0,110
130,110,295,0.95,0,70
131,70,310,0.65,2,210
132,210,310,0.7,3,210
133,210,310,0.8,2,160
134,160,310,0.85,3,210
135,210,310,1,0,60
136,60,325,0.7,2,170
137,170,325,0.9,1,90
138,90,340,0.7,1,120
139,120,340,0.9,1,80
140,80,340,1,0,50
141,50,325,0.95,1,90
142,90,325,0.8,1,80
143,80,325,0.65,2,190
144,190,310,0.95,0,100
145,100,310,0.9,0,110
146,110,310,0.85,0,110
147,110,310,0.8,1,130
148,130,295,0.95,1,90
149,90,295,0.9,2,100
150,100,295,0.65,2,190
151,190,280,0.95,2,100
152,100,280,0.9,1,100
153,100,280,0.85,1,140
154,140,280,0.75,2,150
155,150,280,0.65,2,210
156,210,280,0.7,4,220
157,220,280,0.85,2,120
158,120,280,0.9,2,120
159,120,280,1,1,70
160,70,295,0.65,1,150
161,150,295,0.75,1,110
162,110,295,0.85,3,170
163,170,295,0.9,1,90
164,90,280,0.95,1,90
165,90,295,0.7,1,150
166,150,295,0.75,2,170
167,170,295,0.8,3,210
168,210,295,0.9,1,80
169,80,295,0.9,2,100
170,100,295,0.95,1,90
171,90,295,1,1,70
172,70,295,0.75,2,130
173,130,310,0.7,1,130
174,130,295,1,1,90
175,90,310,0.75,1,130
176,130,310,0.8,3,190
177,190,310,0.85,1,100
178,100,310,0.9,2,130
179,130,310,1,0,60
180,60,325,0.75,1,120
181,120,325,0.85,2,130
182,130,325,0.95,1,60
183,60,340,0.8,2,160
184,160,340,1,0,80
185,80,325,1,0,50
186,50,340,0.8,2,120
187,120,325,1,1,60
188,60,325,0.8,1,100
189,100,325,0.9,2,100
190,100,325,0.85,1,110
191,110,310,1,1,70
192,70,325,0.7,1,130
193,130,310,0.8,1,130
194,130,310,0.85,1,120
195,120,310,0.9,1,100
196,100,310,0.95,1,80
197,80,310,0.7,2,190
198,190,310,0.75,0,130
199,130,310,0.7,2,180
200,180,295,0.85,4,190
201,190,295,0.95,0,80
202,80,280,0.7,2,180
203,180,280,0.8,1,90
204,90,280,0.75,3,190
205,190,280,0.9,1,80
206,80,280,0.65,3,210
207,210,280,0.85,1,140
